region,rajon,fio,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
Витебская,Толочинский,Цепкало В.В.,,,,,,,,,,,
Витебская,Шумилинский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Шумилинский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Шумилинский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Шумилинский,Лукашенко А.Г.,3436,86,3350,807,,,,807,,,3350
Витебская,Шумилинский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Шумилинский,Цепкало В.В.,,,,,,,,,,,
Витебская,Шумилинский,Черечень С.В.,54,,54,13,,,,13,,,54
Витебская,Шаркощинский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Шаркощинский,Дмитриев А.В.,16,1,15,4,4,3,3,7,7,15,
Витебская,Шаркощинский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Шаркощинский,Лукашенко А.Г.,3649,2,3647,912,,,,912,,,3647
Витебская,Шаркощинский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Шаркощинский,Цепкало В.В.,45,1,44,11,,,,11,,,44
Витебская,Шаркощинский,Черечень С.В.,,,,,,,,,,,
Витебская,Сенненский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Сенненский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Сенненский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Сенненский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Сенненский,Цепкало В.В.,,,,,,,,,,,
Витебская,Сенненский,Черечень С.В.,,,,,,,,,,,
Витебская,Россонский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Россонский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Россонский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Россонский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Россонский,Цепкало В.В.,,,,,,,,,,,
Витебская,Россонский,Черечень С.В.,,,,,,,,,,,
Витебская,Поставский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Поставский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Поставский,Цепкало В.В.,,,,,,,,,,,
Витебская,Поставский,Черечень С.В.,,,,,,,,,,,
Витебская,Полоцкий,Канопацкая А.А.,,,,,,,,,,,
Витебская,Новополоцк,Канопацкая А.А.,,,,,,,,,,,
Витебская,Миорский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Миорский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Миорский,Черечень С.В.,,,,,,,,,,,
Витебская,Лиозненский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Лиозненский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Лиозненский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Лиозненский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Лиозненский,Цепкало В.В.,,,,,,,,,,,
Витебская,Лиозненский,Черечень С.В.,,,,,,,,,,,
Витебская,Докшицкий,Бабарико В.Д.,,,,,,,,,,,
Витебская,Докшицкий,Дмитриев А.В.,,,,,,,,,,,
Витебская,Докшицкий,Канопацкая А.А.,,,,,,,,,,,
Витебская,Докшицкий,Тихановская С.Г.,,,,,,,,,,,
Витебская,Докшицкий,Черечень С.В.,,,,,,,,,,,
Витебская,Бешенковичский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Бешенковичский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Бешенковичский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Бешенковичский,Цепкало В.В.,,,,,,,,,,,
Витебская,Бешенковичский,Черечень С.В.,,,,,,,,,,,
Витебская,Лепельский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Лепельский,Дмитриев А.В.,67,4,63,13,1,,,13,1,,62
Витебская,Лепельский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Лепельский,Лукашенко А.Г.,7527,19,7508,1577,5,,,1577,5,,7503
Витебская,Лепельский,Тихановская С.Г.,95,,95,20,3,,,20,3,,92
Витебская,Лепельский,Цепкало В.В.,500,8,492,103,1,,,103,1,,491
Витебская,Лепельский,Черечень С.В.,,,,,,,,,,,
Витебская,Глубокский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Глубокский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Глубокский,Черечень С.В.,,,,,,,,,,,
Витебская,Чашникский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Чашникский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Чашникский,Цепкало В.В.,,,,,,,,,,,
Витебская,Чашникский,Черечень С.В.,,,,,,,,,,,
Витебская,Дубровенский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Дубровенский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Дубровенский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Дубровенский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Дубровенский,Цепкало В.В.,,,,,,,,,,,
Гомельская,None,Лукашенко А.Г.,322296,1514,320782,68800,1281,,,68800,1281,,319501
Гомельская,None,Дмитриев А.В.,9304,336,8968,1909,97,,,1909,97,,8871
Гомельская,None,Канопацкая А.А.,3300,333,2967,651,34,12,6,663,40,76,2868
Гомельская,None,Тихановская С.Г.,16000,284,15716,3314,213,334,18,3648,231,,15485
Гомельская,None,Черечень С.В.,11786,134,11652,2455,145,221,84,2676,229,1470,10087
Гомельская,None,Цепкало В.В.,11346,265,11081,2328,356,1127,184,3455,540,6296,4693
Гомельская,None,Бабарико В.Д.,23990,1123,22867,4743,740,1661,305,6404,1045,11070,11581
Гродненская,None,Канопацкая А.А.,339,1,338,79,1,,,79,1,,337
Гродненская,None,Тихановская С.Г.,10812,298,10514,2313,84,,,2313,84,,10430
Гродненская,None,Лукашенко А.Г.,317810,1075,316735,68846,2661,,,68846,2661,,314074
Гродненская,None,Черечень С.В.,21386,134,21252,4703,372,,,4703,372,,20880
Гродненская,None,Цепкало В.В.,27601,603,26998,5962,751,1905,176,7867,927,12478,14408
Гродненская,None,Бабарико В.Д.,18311,207,18104,4054,640,1375,7,5429,647,9162,8885
Гродненская,None,Дмитриев А.В.,1052,12,1040,232,97,86,55,318,152,560,476
г. Минск,Партизанский в г. Минске,Канопацкая А.А.,8645,27,8618,1724,19,,,1724,19,,8599
г. Минск,Первомайский в г. Минске,Лукашенко А.Г.,36790,394,36396,7279,4,,,7279,4,,36392
г. Минск,Партизанский в г. Минске,Черечень С.В.,283,18,265,53,9,40,,93,9,,256
г. Минск,Советский в г. Минске,Дмитриев А.В.,4716,2,4714,943,1,,,943,1,,4713
г. Минск,Партизанский в г. Минске,Тихановская С.Г.,1337,93,1244,249,29,,,249,29,,1215
г. Минск,Советский в г. Минске,Канопацкая А.А.,12974,66,12908,2582,3,,,2582,3,,12905
г. Минск,Советский в г. Минске,Лукашенко А.Г.,20678,345,20333,4067,5,,,4067,5,,20328
г. Минск,Октябрский в г. Минске,Канопацкая А.А.,10363,231,10132,2026,3,,,2026,3,,10129
г. Минск,Первомайский в г. Минске,Канопацкая А.А.,20850,96,20754,4151,10,,,4151,10,,20744
г. Минск,Партизанский в г. Минске,Бабарико В.Д.,9381,173,9208,1842,802,1381,99,3223,901,9208,
г. Минск,Октябрский в г. Минске,Дмитриев А.В.,4981,60,4921,984,3,,,984,3,,4918
г. Минск,Партизанский в г. Минске,Цепкало В.В.,2466,33,2433,487,273,365,17,852,290,2433,
г. Минск,Первомайский в г. Минске,Дмитриев А.В.,7121,7,7114,1423,5,,,1423,5,,7109
г. Минск,Октябрский в г. Минске,Черечень С.В.,1187,24,1163,233,1,,,233,1,,1162
г. Минск,Советский в г. Минске,Тихановская С.Г.,2361,19,2342,469,2,,,469,2,,2340
г. Минск,Заводской в г. Минске,Дмитриев А.В.,7926,21,7905,1581,7,,,1581,7,,7898
г. Минск,Московский в г. Минске,Канопацкая А.А.,17017,288,16729,3346,18,,,3346,18,,16711
г. Минск,Советский в г. Минске,Черечень С.В.,2463,21,2442,489,3,,,489,3,,2439
г. Минск,Первомайский в г. Минске,Тихановская С.Г.,2612,28,2584,517,4,,,517,4,,2580
г. Минск,Московский в г. Минске,Лукашенко А.Г.,40102,318,39784,7957,70,1381,,7957,70,,39714
г. Минск,None,Дмитриев А.В.,52650,181,52469,10656,111,,,10656,111,,52358
г. Минск,Октябрский в г. Минске,Бабарико В.Д.,13972,801,13171,2634,28,,,2634,28,,13143
г. Минск,Ленинский в г. Минске,Дмитриев А.В.,4524,13,4511,903,11,,,903,11,,4500
г. Минск,None,Лукашенко А.Г.,310036,2384,307652,62641,1119,,,62641,1119,,306533
г. Минск,Заводской в г. Минске,Лукашенко А.Г.,35037,295,34742,6948,126,,,6948,126,,34616
г. Минск,Центральный в г. Минске,Дмитриев А.В.,3490,30,3460,754,15,,,754,15,,3445
г. Минск,Заводской в г. Минске,Бабарико В.Д.,19813,623,19190,3838,77,,,3838,77,,19113
г. Минск,None,Канопацкая А.А.,129095,2242,126853,25635,591,,,25635,591,,126262
г. Минск,Центральный в г. Минске,Канопацкая А.А.,7338,79,7259,1545,36,,,1545,36,,7223
г. Минск,Московский в г. Минске,Дмитриев А.В.,6914,15,6899,1380,35,,,1380,35,,6864
г. Минск,Октябрский в г. Минске,Лукашенко А.Г.,33006,188,32818,6564,177,,,6564,177,,32641
г. Минск,Первомайский в г. Минске,Черечень С.В.,4846,67,4779,956,30,,,956,30,,4749
г. Минск,Заводской в г. Минске,Цепкало В.В.,5834,8,5826,1165,39,,,1165,39,,5787
г. Минск,Центральный в г. Минске,Лукашенко А.Г.,28074,105,27969,6176,216,,,6176,216,,27753
г. Минск,Московский в г. Минске,Черечень С.В.,23011,236,22775,4555,160,,,4555,160,,22615
г. Минск,Ленинский в г. Минске,Лукашенко А.Г.,36042,184,35858,7172,272,,,7172,272,,35586
г. Минск,Центральный в г. Минске,Тихановская С.Г.,1738,71,1667,360,14,,,360,14,,1653
г. Минск,None,Черечень С.В.,48284,796,47488,9620,385,40,,9660,385,,47103
г. Минск,Заводской в г. Минске,Черечень С.В.,2670,86,2584,517,21,,,517,21,,2563
г. Минск,Заводской в г. Минске,Канопацкая А.А.,14054,73,13981,2796,151,,,2796,151,,13830
г. Минск,Первомайский в г. Минске,Бабарико В.Д.,15200,368,14832,2966,172,,,2966,172,,14660
г. Минск,Заводской в г. Минске,Тихановская С.Г.,2596,7,2589,518,32,,,518,32,,2557
г. Минск,None,Тихановская С.Г.,26798,541,26257,5353,362,,,5353,262,,25895
г. Минск,Ленинский в г. Минске,Черечень С.В.,4321,99,4222,845,62,,,845,62,,4160
г. Минск,Советский в г. Минске,Бабарико В.Д.,17488,420,17068,3414,263,,,3414,263,,16805
г. Минск,Ленинский в г. Минске,Канопацкая А.А.,19656,196,19460,3892,311,,,3892,311,,19149
г. Минск,Центральный в г. Минске,Черечень С.В.,4220,5,4215,913,80,,,913,80,,4135
г. Минск,Ленинский в г. Минске,Тихановская С.Г.,3430,60,3370,674,74,,,674,74,,3296
г. Минск,Первомайский в г. Минске,Цепкало В.В.,7977,52,7925,1585,179,,,1585,179,,7746
г. Минск,None,Бабарико В.Д.,187641,4921,182720,37248,5110,17779,2410,55027,7520,118459,63721
г. Минск,Московский в г. Минске,Тихановская С.Г.,3547,67,3480,696,96,,,696,96,,3384
г. Минск,Московский в г. Минске,Цепкало В.В.,8018,11,8007,1601,229,,,1601,229,,7778
г. Минск,Ленинский в г. Минске,Цепкало В.В.,7181,456,6725,1345,204,1009,153,2354,357,6725,
г. Минск,Московский в г. Минске,Бабарико В.Д.,30341,300,30041,6008,1068,4506,530,10514,1598,30041,
г. Минск,Ленинский в г. Минске,Бабарико В.Д.,20837,237,20600,4120,630,3090,473,7210,1103,20600,
г. Минск,Октябрский в г. Минске,Цепкало В.В.,3694,63,3631,727,113,554,84,1281,197,3631,
г. Минск,Центральный в г. Минске,Бабарико В.Д.,13419,489,12930,2833,536,1950,210,4783,746,12930,
г. Минск,None,Цепкало В.В.,62294,790,61504,12489,2043,5973,874,18462,2917,39746,21311
г. Минск,Советский в г. Минске,Цепкало В.В.,5710,42,5668,1134,266,850,68,1984,334,5668,
г. Минск,Центральный в г. Минске,Цепкало В.В.,3561,12,3549,720,109,534,105,1254,214,3549,
г. Минск,Партизанский в г. Минске,Лукашенко А.Г.,27358,335,27023,5405,78,,,5405,78,,26945
г. Минск,Партизанский в г. Минске,Дмитриев А.В.,3110,17,3093,619,,,,619,,,3093
г. Минск,Октябрский в г. Минске,Тихановская С.Г.,1640,23,1617,324,,,,324,,,1617
г. Минск,Фрунзенский в г. Минске,Бабарико В.Д.,47190,1510,45680,9593,1534,6853,1098,16445,2632,45680,
г. Минск,Фрунзенский в г. Минске,Дмитриев А.В.,9868,16,9852,2069,34,,,2069,34,,9818
г. Минск,Фрунзенский в г. Минске,Канопацкая А.А.,18198,1186,17012,3573,40,,,3573,40,,16972
г. Минск,Фрунзенский в г. Минске,Лукашенко А.Г.,52949,220,52729,11073,171,,,11073,171,,52558
г. Минск,Фрунзенский в г. Минске,Тихановская С.Г.,7537,173,7364,1546,111,,,1546,111,,7253
г. Минск,Фрунзенский в г. Минске,Цепкало В.В.,17853,113,17740,3725,631,2661,447,6386,1078,,
г. Минск,Фрунзенский в г. Минске,Черечень С.В.,5283,240,5043,1059,19,,,1059,19,,5024
Минская,None,Лукашенко А.Г.,302266,3275,298991,64005,223,,,64005,223,,298768
Минская,None,Черечень С.В.,15232,144,15088,3191,139,,,3191,139,,14949
Минская,None,Тихановская С.Г.,14037,173,13864,2911,142,87,17,2998,159,574,13167
Минская,None,Дмитриев А.В.,8883,146,8737,1867,137,77,59,1944,196,472,8166
Минская,None,Канопацкая А.А.,1933,176,1757,366,47,150,22,516,69,934,811
Минская,None,Бабарико В.Д.,64558,2665,61893,12868,1817,4478,1280,17346,3097,29848,31849
Минская,None,Цепкало В.В.,17346,353,16993,3584,629,1506,386,5090,1015,10033,6902
Могилевская,None,Лукашенко А.Г.,335487,2542,332945,71464,534,,,71464,534,,332411
Могилевская,None,Тихановская С.Г.,12587,640,11947,2511,85,,,2511,85,,11862
Могилевская,None,Канопацкая А.А.,8354,268,8086,1699,62,,,1699,62,,8024
Могилевская,None,Черечень С.В.,28606,1271,27335,5757,265,,,5757,265,,27070
Могилевская,None,Дмитриев А.В.,20875,362,20513,4306,284,,,4306,284,,20229
Могилевская,None,Бабарико В.Д.,18061,757,17304,3658,494,1885,261,5543,755,6929,10032
Могилевская,None,Цепкало В.В.,15617,478,15139,3171,517,2090,304,5261,821,6906,7861
Республика Беларусь,None,Лукашенко А.Г.,1958800,13155,1945645,416646,6073,,,416646,6073,,1939572
Республика Беларусь,None,Канопацкая А.А.,151631,3134,148497,30221,893,798,80,31019,973,1010,146588
Республика Беларусь,None,Тихановская С.Г.,109479,2625,106854,22525,1103,487,50,23012,1153,1012,104757
Республика Беларусь,None,Дмитриев А.В.,110754,1784,108970,22601,1086,199,141,22800,1227,1222,106841
Республика Беларусь,None,Черечень С.В.,149750,3259,146491,30622,1877,1253,169,31875,2046,1470,143109
Республика Беларусь,None,Бабарико В.Д.,367179,11481,355698,73708,9396,29124,4557,102832,13953,188425,165744
Республика Беларусь,None,Цепкало В.В.,158682,3040,155642,32611,4512,13168,2010,45779,6522,79224,75249
Минская,Березинский,Бабарико В.Д.,396,13,383,80,3,,,80,3,,380
